11904	0	16954
348	1	16955
13598	2	16956
9098	1	16957
14187	3	16958
11504	1	16959
8412	4	16960
1691	5	16961
5018	1	16962
12027	1	16963
4492	1	16964
12602	1	16965
478	1	16966
478	1	16967
7080	1	16968
5242	1	16969
10130	1	16970
4014	6	16971
8266	7	16972
4791	1	16973
1465	8	16974
12172	9	16975
2515	1	16976
7908	1	16977
8509	1	16978
3170	1	16979
2597	1	16980
9564	1	16981
8138	10	16982
12241	1	16983
12241	1	16984
8179	9	16985
5043	1	16986
7132	1	16987
4466	11	16988
10163	1	16989
10163	12	16990
5606	12	16991
9765	1	16992
10478	3	16993
6495	1	16994
11981	1	16995
15734	6	16996
3334	11	16997
11339	1	16998
3948	1	16999
9238	4	17000
9493	1	17001
10420	5	17002
1080	1	17003
1080	1	17004
5798	1	17005
4981	1	17006
6733	1	17007
2977	12	17008
12199	1	17009
4095	13	17010
9587	0	17011
12909	3	17012
4800	1	17013
4800	9	17014
13083	1	17015
799	14	17016
7948	1	17017
9525	6	16996
215	9	17018
2804	1	17019
12457	1	17020
12457	12	17021
5096	8	17022
7727	1	17023
1493	15	17024
2116	0	17025
4831	1	17026
4831	10	16982
3097	1	17027
16666	1	17028
12428	1	17029
999	1	17030
7545	12	17031
7545	0	17032
13413	13	17033
1936	1	17034
10188	15	17024
7861	1	17035
2973	1	17036
9916	1	17037
1116	1	17038
1116	15	17024
14366	15	17024
14545	1	17039
3160	1	17040
3160	16	17041
13370	16	17042
14304	1	17043
4253	13	17044
7625	1	17045
1542	1	17046
1169	14	17047
4723	1	17048
14664	11	17049
3788	1	17050
13849	1	17051
7734	10	16982
11829	1	17052
5624	12	17053
5696	1	17054
1474	15	17024
3916	1	17055
9191	16	17056
11224	1	17057
10597	1	17058
10597	1	17059
10820	1	17060
2261	9	17061
759	1	17062
5930	1	17063
3992	16	17064
7159	1	17065
294	0	17066
15178	0	17067
5676	12	17068
16308	9	17069
12025	0	17070
4794	7	17071
1521	12	17072
3638	12	17068
14070	3	17073
13895	12	17074
7153	8	17075
13579	6	17076
13847	1	17077
4813	1	17078
13871	4	17079
3385	2	17080
11818	13	17081
8676	17	17076
12072	1	17082
3341	1	17083
3341	1	17084
15841	1	17085
5039	3	17086
871	1	17087
11261	15	17024
6729	0	17088
10452	11	17089
11130	1	17090
9474	15	17091
2882	3	17092
12940	12	17093
13252	0	17094
5224	7	17095
15534	0	17096
15655	1	17097
10262	1	17098
13006	1	17099
7580	2	17100
5468	1	17101
7696	9	17102
385	4	17103
4380	12	17104
2990	1	17105
5419	1	17106
5419	1	17107
15819	12	17072
3249	1	17108
15947	1	17109
10433	1	17110
5388	1	17111
1481	1	17112
5746	1	17113
1328	1	17114
7081	16	17115
1170	1	17116
5195	12	17053
6402	1	17117
2943	1	17118
2943	1	17119
11129	15	17120
5648	1	17121
1895	9	17122
6785	1	17123
4219	6	17076
2107	1	17124
2389	1	17125
4963	1	17126
457	15	17127
10005	1	17128
11600	9	17129
6912	1	17130
16770	7	17131
10119	1	17132
9530	0	17133
2921	1	17134
12704	4	17135
16940	4	17136
819	12	17072
6875	15	17024
8270	12	17053
6292	12	17137
6744	1	17138
6744	1	17139
11492	0	17140
16014	11	17141
4895	13	17142
11223	12	17053
1086	13	17143
4515	12	17053
8835	1	17144
8835	1	17145
10856	1	17146
4273	1	17147
1053	1	17148
12054	4	17149
8139	1	17150
1136	12	17072
2799	1	17151
13650	12	17053
10115	15	17152
10115	13	17153
4046	1	17154
4046	9	17155
1541	1	17156
6293	15	17024
14454	1	17157
2179	1	17158
8115	3	17159
8115	0	17160
5681	1	17161
4947	13	17162
9180	1	17163
9147	14	17164
3205	1	17165
5312	11	17166
5312	4	17167
9505	3	17168
12642	1	17169
12642	12	17104
4619	7	17170
789	4	17171
5932	1	17172
16763	16	17173
7482	12	17021
9975	5	17174
13976	1	17175
6854	3	17176
3750	6	17076
7065	1	17177
15205	14	17178
15783	1	17179
9026	12	17180
1688	1	17181
5268	10	16982
3273	1	17182
4607	1	17183
5120	1	17184
229	1	17185
8896	10	17186
1334	1	17187
3751	1	17188
5550	1	17189
8322	0	17190
8322	10	17186
604	1	17191
5185	1	17192
16869	1	17193
7571	1	17194
8918	1	17195
15747	1	17196
